ROWNUM;CommonName;FullName;ShortName;AdmAreaCode;AdmArea;District;PostalCode;Address;NearestMetroStations;ChiefName;ChiefPosition;ChiefPhone;ContactPhone;ArchivePhone;SignPGU;WorkingHours;ClarificationOfWorkingHours;WebSite;X_WGS;Y_WGS;GLOBALID;
1;"Академический ЗАГС";"Академический отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Академический отдел ЗАГС Управления ЗАГС Москвы";"0700";"Юго-Западный административный округ";"Академический район";"117218";"Профсоюзная улица, дом 13/12";"Профсоюзная (Калужско-Рижская линия)";"Селина Елена Михайловна";"начальник";"(499) 125-06-51";"(499) 125-55-67; (499) 125-53-11; (499) 125-06-51";"(499) 125-53-11";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/akademicheskiy_otdel_zags/";"37.567141";"55.680825";"47011408";
2;"Архивно-информационный отдел";"Архивно-информационный отдел Управления записи актов гражданского состояния города Москвы";"Архивно-информационный отдел Управления ЗАГС Москвы";"0100";"Центральный административный округ";"Басманный район";"101990";"Малый Харитоньевский переулок, дом 10, строение 1";"Чистые пруды (Сокольническая линия)";"Бараник Ольга Петровна";"начальник";"(495) 628-04-40";"(495) 623-70-89; (495) 624-26-81";"(495) 623-70-89";"нет";"понедельник 09:00-17:30; вторник 09:00-17:30; среда выходной; четверг 09:00-17:30; пятница 09:00-16:30; суббота выходной; воскресенье выходной";"Обед с 13:00 до 14:00. Среда каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/arkhivno_informatsionnyy_otdel/";"37.644421";"55.765963";"47011409";
3;"Бабушкинский ЗАГС";"Бабушкинский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Бабушкинский отдел ЗАГС Управления ЗАГС Москвы";"0300";"Северо-Восточный административный округ";"Бабушкинский район";"129327";"улица Менжинского, дом 23, корпус 1";"Бабушкинская (Калужско-Рижская линия)";"Марченко Татьяна Анатольевна";"начальник";"(499) 181-70-06";"(499) 186-00-58; (499) 186-00-70";"(499) 186-00-58";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/babushkinskiy_otdel_zags/";"37.660259";"55.869862";"47011410";
4;"Богородский ЗАГС";"Богородский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Богородский отдел ЗАГС Управления ЗАГС Москвы";"0400";"Восточный административный округ";"район Богородское";"107150";"бульвар Маршала Рокоссовского, дом 21/21";"Улица Подбельского (Сокольническая линия)";"Андриевская Гульсиня Жафяровна";"начальник";"(499) 169-31-55";"(499) 169-31-55; (499) 169-11-70; (499) 169-42-46";"(499) 169-11-70";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/bogorodskiy_otdel_zags/";"37.719957";"55.813686";"47011411";
5;"Вернадский ЗАГС";"Вернадский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Вернадский отдел ЗАГС Управления ЗАГС Москвы";"0800";"Западный административный округ";"район Проспект Вернадского";"119415";"улица Лобачевского, дом 2";"Проспект Вернадского (Сокольническая линия)";"Костина Екатерина Андреевна";"начальник";"(499) 432-90-01";"(499) 432-90-01; (499) 432-32-40; (499) 432-33-25";"(499) 432-32-40";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/vernadskiy_otdel_zags/";"37.509489";"55.665281";"47011412";
6;"Гагаринский ЗАГС";"Гагаринский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Гагаринский отдел ЗАГС Управления ЗАГС Москвы";"0700";"Юго-Западный административный округ";"Гагаринский район";"119334";"Ленинский проспект, дом 44";"Ленинский проспект (Калужско-Рижская линия)";"Севостьянова Юлия Борисовна";"начальник";"(499) 137-76-24";"(499) 137-76-24; (499) 137-32-42; (499) 137-71-22";"(499) 137-37-51";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/gagarinskiy_otdel_zags/";"37.568075";"55.701738";"47011413";
7;"Дворец бракосочетания № 1";"Дворец бракосочетания № 1 Управления записи актов гражданского состояния города Москвы";"Дворец бракосочетания № 1 Управления ЗАГС Москвы";"0100";"Центральный административный округ";"Басманный район";"101990";"Малый Харитоньевский переулок, дом 10, строение 1";"Чистые пруды (Сокольническая линия)";"Асташкина Наталья Евгеньевна";"начальник";"(495) 625-58-82";"(495) 624-31-88; (495) 621-33-78";"(495) 621-33-78";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Первый вторник каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/dvortsy/dvorets_brakosochetaniya_1/";"37.644421";"55.765963";"47011414";
8;"Дворец бракосочетания № 3";"Дворец бракосочетания № 3 Управления записи актов гражданского состояния города Москвы";"Дворец бракосочетания № 3 Управления ЗАГС Москвы";"0500";"Юго-Восточный административный округ";"район Текстильщики";"109129";"улица Юных Ленинцев, дом 35, корпус 1";"Текстильщики (Таганско-Краснопресненская линия)";"Киселева Марина Евгеньевна";"начальник";"(499) 178-82-04";"(499) 178-82-04; (499) 179-66-14; (499) 178-84-04";"(499) 179-66-14";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Третий вторник каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/dvortsy/dvorets_brakosochetaniya_3/";"37.745286";"55.700362";"47011415";
9;"Дворец бракосочетания № 4";"Дворец бракосочетания № 4 Управления записи актов гражданского состояния города Москвы";"Дворец бракосочетания № 4 Управления ЗАГС Москвы";"0200";"Северный административный округ";"Савёловский район";"127015";"Бутырская улица, дом 17";"Савёловская (Серпуховско-Тимирязевская линия)";"Ткачева Светлана Эдуардовна";"начальник";"(495) 685-06-94";"(495) 685-79-88; (495) 685-06-94; (495) 685-19-60";"(495) 685-79-88";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый вторник каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/dvortsy/dvorets_brakosochetaniya_4/";"37.583296";"55.798325";"47011416";
10;"Дворец бракосочетания № 5";"Дворец бракосочетания № 5 Управления записи актов гражданского состояния города Москвы";"Дворец бракосочетания № 5 Управления ЗАГС Москвы";"0400";"Восточный административный округ";"район Измайлово";"105187";"Измайловское шоссе, дом 73Ж";"Партизанская (Арбатско-Покровская линия)";"Чевордаева Ирина Владимировна";"начальник";"(495) 603-94-15";"(495) 603-94-15; (495) 603-94-13; (495) 603-94-07";"(495) 603-94-14";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Второй вторник каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/dvortsy/dvorets_brakosochetaniya_5/";"37.749742";"55.794139";"47011417";
